id_mesa,id_establecimiento,id_centro_de_distribucion,descripcion,ciudadanos_habilitados,extranjera
2697,5154,11,2697,347,NO
2698,5154,11,2698,347,NO
2699,5154,11,2699,347,NO
2700,5154,11,2700,347,NO
2701,5154,11,2701,347,NO
2702,4472,11,2702,347,NO
2703,4472,11,2703,347,NO
2704,4472,11,2704,347,NO
2705,4472,11,2705,347,NO
2706,4472,11,2706,347,NO
2707,4472,11,2707,347,NO
2708,4472,11,2708,347,NO
2709,4472,11,2709,346,NO
2710,4472,11,2710,346,NO
2711,4472,11,2711,346,NO
2712,4472,11,2712,346,NO
2713,4472,11,2713,346,NO
2714,4472,11,2714,346,NO
2715,4472,11,2715,346,NO
2716,4472,11,2716,346,NO
2717,4472,11,2717,346,NO
2718,4473,11,2718,346,NO
2719,4473,11,2719,346,NO
2720,4473,11,2720,346,NO
2721,4473,11,2721,346,NO
2722,4473,11,2722,346,NO
2723,4473,11,2723,346,NO
2724,4473,11,2724,346,NO
2725,4474,11,2725,346,NO
2726,4474,11,2726,346,NO
2727,4474,11,2727,346,NO
2728,4474,11,2728,346,NO
2729,4474,11,2729,346,NO
2730,5060,11,2730,345,NO
2731,5060,11,2731,345,NO
2732,5060,11,2732,345,NO
2733,5060,11,2733,345,NO
2734,5060,11,2734,345,NO
2735,5060,11,2735,344,NO
2736,5060,11,2736,344,NO
2737,5060,11,2737,344,NO
2738,5060,11,2738,344,NO
2739,5060,11,2739,344,NO
2740,5059,11,2740,344,NO
2741,5059,11,2741,344,NO
2742,5059,11,2742,344,NO
2743,5059,11,2743,344,NO
2744,5059,11,2744,344,NO
2745,5059,11,2745,344,NO
2746,5059,11,2746,344,NO
2747,5059,11,2747,344,NO
2748,5059,11,2748,344,NO
2749,5059,11,2749,344,NO
2750,5059,11,2750,344,NO
2751,5059,11,2751,344,NO
2752,8489,11,2752,344,NO
2753,8489,11,2753,344,NO
2754,8489,11,2754,344,NO
2755,8489,11,2755,344,NO
2756,8489,11,2756,344,NO
2757,8489,11,2757,344,NO
2758,8489,11,2758,344,NO
2759,8489,11,2759,344,NO
2760,8489,11,2760,344,NO
2761,8489,11,2761,344,NO
2762,8489,11,2762,344,NO
2763,8489,11,2763,344,NO
2764,8489,11,2764,344,NO
2765,8489,11,2765,344,NO
2766,5063,11,2766,344,NO
2767,5063,11,2767,344,NO
2768,5063,11,2768,344,NO
2769,5063,11,2769,344,NO
2770,5063,11,2770,344,NO
2771,5063,11,2771,344,NO
2772,5063,11,2772,344,NO
